time,elapsed,test_type,phase,axis,direction,target_speed,cmd_vx,cmd_wz,fb_vx,fb_vy,fb_wz
1782644400.9929914,0.12009596824645996,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.0329914,0.1600959300994873,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.0729866,0.20009112358093262,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.112995,0.24009943008422852,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.152991,0.28009557723999023,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.1929848,0.32008934020996094,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.2330093,0.36011385917663574,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.2730663,0.40017080307006836,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.313098,0.4402024745941162,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.353042,0.4801464080810547,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.3930657,0.5201702117919922,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.4330764,0.5601809024810791,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.4730275,0.6001319885253906,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.513254,0.6403584480285645,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.5530796,0.6801841259002686,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.592973,0.7200775146484375,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.633039,0.760143518447876,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.6730626,0.8001670837402344,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.7130592,0.8401637077331543,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.7530541,0.8801586627960205,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.7930763,0.9201807975769043,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.8330023,0.9601068496704102,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.873033,1.0001375675201416,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
1782644401.9131699,1.0402743816375732,breakaway,target_from_rest,vx,1,0.008,0.008,0.0,0.0,0.0,0.0
