[INFO] [1782996362.288115277] [simple_scan_filter]: filter /scan -> /scan_filtered, keep=[0.18, 4.00], isolated_window=2, isolated_delta=0.25, min_support_neighbors=1
[INFO] [1782996372.154552460] [simple_scan_filter]: scan stats: n=404, zeros=96, nan=0, inf=0, finite_raw=308, finite_out=226, removed_isolated=5
[INFO] [1782996377.150271541] [simple_scan_filter]: scan stats: n=404, zeros=102, nan=0, inf=0, finite_raw=302, finite_out=230, removed_isolated=3
[INFO] [1782996382.166181883] [simple_scan_filter]: scan stats: n=404, zeros=93, nan=0, inf=0, finite_raw=311, finite_out=233, removed_isolated=5
[INFO] [1782996387.153823037] [simple_scan_filter]: scan stats: n=404, zeros=97, nan=0, inf=0, finite_raw=307, finite_out=231, removed_isolated=3
[INFO] [1782996392.145460165] [simple_scan_filter]: scan stats: n=404, zeros=98, nan=0, inf=0, finite_raw=306, finite_out=235, removed_isolated=4
[INFO] [1782996397.143938850] [simple_scan_filter]: scan stats: n=404, zeros=92, nan=0, inf=0, finite_raw=312, finite_out=236, removed_isolated=4
[INFO] [1782996402.121239347] [simple_scan_filter]: scan stats: n=404, zeros=96, nan=0, inf=0, finite_raw=308, finite_out=230, removed_isolated=3
[INFO] [1782996407.119488191] [simple_scan_filter]: scan stats: n=404, zeros=99, nan=0, inf=0, finite_raw=305, finite_out=231, removed_isolated=4
[INFO] [1782996412.137189798] [simple_scan_filter]: scan stats: n=404, zeros=95, nan=0, inf=0, finite_raw=309, finite_out=235, removed_isolated=3
[INFO] [1782996417.109088225] [simple_scan_filter]: scan stats: n=404, zeros=102, nan=0, inf=0, finite_raw=302, finite_out=231, removed_isolated=3
[INFO] [1782996422.098917584] [simple_scan_filter]: scan stats: n=404, zeros=102, nan=0, inf=0, finite_raw=302, finite_out=227, removed_isolated=3
[INFO] [1782996427.094736752] [simple_scan_filter]: scan stats: n=404, zeros=96, nan=0, inf=0, finite_raw=308, finite_out=232, removed_isolated=5
[INFO] [1782996432.087913690] [simple_scan_filter]: scan stats: n=404, zeros=106, nan=0, inf=0, finite_raw=298, finite_out=226, removed_isolated=1
[INFO] [1782996437.088056980] [simple_scan_filter]: scan stats: n=404, zeros=97, nan=0, inf=0, finite_raw=307, finite_out=228, removed_isolated=7
