[INFO] [1783316543.876763220] [foxglove_click_goal_bridge]: Foxglove click goal bridge started.
[INFO] [1783316543.903064085] [foxglove_click_goal_bridge]: Listening point click topic:
[INFO] [1783316543.910241916] [foxglove_click_goal_bridge]:   /foxglove_goal_point
[INFO] [1783316543.914394831] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PointStamped
[INFO] [1783316543.929808825] [foxglove_click_goal_bridge]: Listening pose click topic:
[INFO] [1783316543.949401984] [foxglove_click_goal_bridge]:   /foxglove_goal_pose
[INFO] [1783316543.959707271] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PoseStamped
[INFO] [1783316543.963827145] [foxglove_click_goal_bridge]: Recommended Foxglove tool:
[INFO] [1783316543.983684595] [foxglove_click_goal_bridge]:   Publish -> 2D point -> /foxglove_goal_point
[INFO] [1783316543.987422552] [foxglove_click_goal_bridge]: Visual path topic: /foxglove_click_planned_path
[INFO] [1783316543.991214009] [foxglove_click_goal_bridge]: Visual trajectory: /foxglove_click_trajectory_dots (red dots)
[INFO] [1783316544.002050588] [foxglove_click_goal_bridge]: Visual start marker: /foxglove_click_start_marker
[INFO] [1783316544.035753950] [foxglove_click_goal_bridge]: Visual goal marker: /foxglove_click_goal_marker + /foxglove_click_goal_label
[INFO] [1783316544.059690941] [foxglove_click_goal_bridge]: Foxglove map viz: /foxglove_map_viz (use in 3D panel instead of /map)
[INFO] [1783316546.572314628] [foxglove_click_goal_bridge]: >>> CLICK READY: Foxglove 可以单击地图白色区域发送导航目标。 Topic=/foxglove_goal_point, frame=map。 若 scan 与地图错位，请先用 /initialpose 校正。导航进行中会忽略新点击。
[INFO] [1783316567.102281486] [foxglove_click_goal_bridge]: Transformed click from base_link (-0.568, 3.293) -> map (0.282, -0.068)
[INFO] [1783316567.131010350] [foxglove_click_goal_bridge]: Goal marker published at (0.282, -0.068) -> /foxglove_click_goal_marker /foxglove_click_goal_label
[INFO] [1783316567.138033056] [foxglove_click_goal_bridge]: Received Foxglove clicked point: frame_id=base_link, x=0.282, y=-0.068, goal_yaw=-2.141
[INFO] [1783316567.142724971] [foxglove_click_goal_bridge]: Goal footprint OK: (0.282, -0.068) -> ok (radius=0.11m)
[INFO] [1783316567.171554876] [foxglove_click_goal_bridge]: [1] Start marker at (-2.798, 1.230) -> /foxglove_click_start_marker
[INFO] [1783316567.186626120] [foxglove_click_goal_bridge]: Goal marker published at (0.282, -0.068) -> /foxglove_click_goal_marker /foxglove_click_goal_label
[INFO] [1783316567.191868826] [foxglove_click_goal_bridge]: [1] Accepted goal: frame=map, x=0.282, y=-0.068
[INFO] [1783316567.346268474] [foxglove_click_goal_bridge]: [1] Planned path published: 136 poses -> /foxglove_click_planned_path
[INFO] [1783316567.372976214] [foxglove_click_goal_bridge]: [1] NavigateToPose goal accepted. Robot should start planning/following.
[INFO] [1783316567.396262580] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.000 m, recoveries=0
[INFO] [1783316569.401951879] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316571.402973805] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316573.420926807] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316575.424189106] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316577.426368198] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316579.427621581] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316581.440466168] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316583.469558831] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316585.475158920] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316587.495476837] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316589.501996551] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316591.519660176] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316593.523523140] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316595.534716852] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316597.537584608] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316599.537234864] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316601.538431329] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316603.557555245] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316605.564447248] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316607.579901540] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316609.580629212] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316611.597324545] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=0
[INFO] [1783316613.599999716] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316615.617093673] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316617.634859629] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316619.634628051] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316621.642319636] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316623.662027341] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316625.667696927] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316627.680724509] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316629.697927298] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316631.723566167] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316633.720743921] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316635.775329403] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316637.763704120] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316639.851571671] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
[INFO] [1783316641.864651836] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.401 m, recoveries=4
