[INFO] [1783329011.678881804] [foxglove_click_goal_bridge]: Foxglove click goal bridge started.
[INFO] [1783329011.686221381] [foxglove_click_goal_bridge]: Listening point click topic:
[INFO] [1783329011.692433125] [foxglove_click_goal_bridge]:   /foxglove_goal_point
[INFO] [1783329011.701236076] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PointStamped
[INFO] [1783329011.704683240] [foxglove_click_goal_bridge]: Listening pose click topic:
[INFO] [1783329011.709451819] [foxglove_click_goal_bridge]:   /foxglove_goal_pose
[INFO] [1783329011.719716102] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PoseStamped
[INFO] [1783329011.728831677] [foxglove_click_goal_bridge]: Recommended Foxglove tool:
[INFO] [1783329011.737042337] [foxglove_click_goal_bridge]:   Publish -> 2D point -> /foxglove_goal_point
[INFO] [1783329011.740385667] [foxglove_click_goal_bridge]: Visual path topic: /foxglove_click_planned_path
[INFO] [1783329011.743719873] [foxglove_click_goal_bridge]: Visual trajectory: /foxglove_click_trajectory_dots (red dots)
[INFO] [1783329011.750694117] [foxglove_click_goal_bridge]: Visual start marker: /foxglove_click_start_marker
[INFO] [1783329011.754144947] [foxglove_click_goal_bridge]: Visual goal marker: /foxglove_click_goal_marker + /foxglove_click_goal_label
[INFO] [1783329011.757349236] [foxglove_click_goal_bridge]: Foxglove map viz: /foxglove_map_viz (use in 3D panel instead of /map)
[INFO] [1783329014.296714665] [foxglove_click_goal_bridge]: >>> CLICK READY: Foxglove 可以单击地图白色区域发送导航目标。 Topic=/foxglove_goal_point, frame=map。 若 scan 与地图错位，请先用 /initialpose 校正。导航进行中会忽略新点击。
[INFO] [1783329102.255416927] [foxglove_click_goal_bridge]: Transformed click from base_link (-0.378, 3.332) -> map (1.595, -2.945)
[INFO] [1783329102.288290358] [foxglove_click_goal_bridge]: Goal marker published at (1.595, -2.945) -> /foxglove_click_goal_marker /foxglove_click_goal_label
[INFO] [1783329102.297054726] [foxglove_click_goal_bridge]: Received Foxglove clicked point: frame_id=base_link, x=1.595, y=-2.945, goal_yaw=-3.017
[INFO] [1783329102.304436470] [foxglove_click_goal_bridge]: Goal footprint OK: (1.595, -2.945) -> ok (radius=0.11m)
[INFO] [1783329102.342061355] [foxglove_click_goal_bridge]: [1] Start marker at (0.807, 0.315) -> /foxglove_click_start_marker
[INFO] [1783329102.363755796] [foxglove_click_goal_bridge]: Goal marker published at (1.595, -2.945) -> /foxglove_click_goal_marker /foxglove_click_goal_label
[INFO] [1783329102.368498958] [foxglove_click_goal_bridge]: [1] Accepted goal: frame=map, x=1.595, y=-2.945
[INFO] [1783329102.501822389] [foxglove_click_goal_bridge]: [1] Planned path published: 146 poses -> /foxglove_click_planned_path
[INFO] [1783329102.516555335] [foxglove_click_goal_bridge]: [1] NavigateToPose goal accepted. Robot should start planning/following.
[INFO] [1783329102.532491906] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.000 m, recoveries=0
[INFO] [1783329104.537785409] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.595 m, recoveries=0
[INFO] [1783329106.540870083] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.512 m, recoveries=0
[INFO] [1783329108.566409740] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.433 m, recoveries=0
[INFO] [1783329110.579494992] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.307 m, recoveries=0
[INFO] [1783329112.604982735] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.208 m, recoveries=0
[INFO] [1783329114.625359067] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=3.058 m, recoveries=0
[INFO] [1783329116.629202915] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.933 m, recoveries=0
[INFO] [1783329118.649724750] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.783 m, recoveries=0
[INFO] [1783329120.661290136] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.659 m, recoveries=0
[INFO] [1783329122.667142487] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.509 m, recoveries=0
[INFO] [1783329124.679933416] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.360 m, recoveries=0
[INFO] [1783329126.686010811] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.212 m, recoveries=0
[INFO] [1783329128.711106067] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.088 m, recoveries=0
[INFO] [1783329130.703285810] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=1.963 m, recoveries=0
[INFO] [1783329132.714844539] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=1.839 m, recoveries=0
[INFO] [1783329134.770397774] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=1.689 m, recoveries=0
[INFO] [1783329136.784174046] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=1.564 m, recoveries=0
[INFO] [1783329138.789773367] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=1.414 m, recoveries=0
[INFO] [1783329140.796248064] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=1.265 m, recoveries=0
[INFO] [1783329142.804469428] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=1.141 m, recoveries=0
[INFO] [1783329144.814741458] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=1.022 m, recoveries=0
[INFO] [1783329146.819589161] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.835 m, recoveries=0
[INFO] [1783329148.822580200] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.664 m, recoveries=0
[INFO] [1783329150.826490199] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.541 m, recoveries=0
[INFO] [1783329152.823805079] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.378 m, recoveries=0
[INFO] [1783329154.827238789] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.310 m, recoveries=0
[INFO] [1783329156.842060242] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.287 m, recoveries=0
[INFO] [1783329158.845499621] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.287 m, recoveries=0
[INFO] [1783329160.867084238] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.287 m, recoveries=0
[INFO] [1783329162.877420282] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.287 m, recoveries=0
[INFO] [1783329164.886114370] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.287 m, recoveries=0
[INFO] [1783329166.889703214] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.287 m, recoveries=0
[INFO] [1783329168.891797102] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.287 m, recoveries=0
[INFO] [1783329170.895545158] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.287 m, recoveries=0
[INFO] [1783329172.906121584] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.287 m, recoveries=0
[INFO] [1783329174.908492476] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.287 m, recoveries=0
[INFO] [1783329176.907868498] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.287 m, recoveries=0
[INFO] [1783329178.927814754] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.287 m, recoveries=0
