[INFO] [1783321112.563961346] [foxglove_click_goal_bridge]: Foxglove click goal bridge started.
[INFO] [1783321112.568133177] [foxglove_click_goal_bridge]: Listening point click topic:
[INFO] [1783321112.571407884] [foxglove_click_goal_bridge]:   /foxglove_goal_point
[INFO] [1783321112.574772674] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PointStamped
[INFO] [1783321112.577883548] [foxglove_click_goal_bridge]: Listening pose click topic:
[INFO] [1783321112.581048505] [foxglove_click_goal_bridge]:   /foxglove_goal_pose
[INFO] [1783321112.584414795] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PoseStamped
[INFO] [1783321112.587345544] [foxglove_click_goal_bridge]: Recommended Foxglove tool:
[INFO] [1783321112.590761001] [foxglove_click_goal_bridge]:   Publish -> 2D point -> /foxglove_goal_point
[INFO] [1783321112.594200333] [foxglove_click_goal_bridge]: Visual path topic: /foxglove_click_planned_path
[INFO] [1783321112.597515123] [foxglove_click_goal_bridge]: Visual trajectory: /foxglove_click_trajectory_dots (red dots)
[INFO] [1783321112.600809955] [foxglove_click_goal_bridge]: Visual start marker: /foxglove_click_start_marker
[INFO] [1783321112.604113829] [foxglove_click_goal_bridge]: Visual goal marker: /foxglove_click_goal_marker + /foxglove_click_goal_label
[INFO] [1783321112.607160202] [foxglove_click_goal_bridge]: Foxglove map viz: /foxglove_map_viz (use in 3D panel instead of /map)
[INFO] [1783321114.237979584] [foxglove_click_goal_bridge]: >>> CLICK READY: Foxglove 可以单击地图白色区域发送导航目标。 Topic=/foxglove_goal_point, frame=map。 若 scan 与地图错位，请先用 /initialpose 校正。导航进行中会忽略新点击。
[INFO] [1783321207.177463000] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=1
[INFO] [1783321209.190817608] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321211.212069506] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321213.228540390] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321215.242700596] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321217.256309291] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321219.259905801] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321221.276985856] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321223.288939730] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321225.317110069] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321227.330350635] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321229.336488226] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321231.359327865] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
[INFO] [1783321233.372032444] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=4
