[INFO] [1781269511.525205091] [compressed_to_raw_image]: compressed_to_raw_image started
[INFO] [1781269511.527613925] [compressed_to_raw_image]: subscribe: /image  type=sensor_msgs/msg/CompressedImage
[INFO] [1781269511.529703258] [compressed_to_raw_image]: publish  : /image_raw type=sensor_msgs/msg/Image
[INFO] [1781269825.171041792] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781269827.187744570] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.84
[INFO] [1781269829.222818507] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.16
[INFO] [1781269831.229826572] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.92
[INFO] [1781269833.273313126] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.09
[INFO] [1781269835.318100093] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781269837.373420971] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.97
[INFO] [1781269839.373052275] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781269841.418864899] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.03
[INFO] [1781269843.419951488] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781269845.467984938] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781269847.471210229] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781269849.470456768] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781269851.518449168] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.01
[INFO] [1781269853.519827867] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781269855.570426426] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781269857.618646858] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781269859.637841460] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.82
[INFO] [1781269861.669001223] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.18
[INFO] [1781269863.719668187] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781269865.718852619] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781269867.773111950] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781269869.820159656] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781269871.820113329] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781269873.821198706] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781269875.868232445] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.03
[INFO] [1781269877.869181609] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781269879.889190098] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.82
[INFO] [1781269881.921984081] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.17
[INFO] [1781269883.971021599] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781269886.019477198] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781269888.077031249] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.92
