[INFO] [1781017158.367980794] [cmd_vel_to_rosmaster]: Initializing Rosmaster...
[INFO] [1781017158.370397716] [cmd_vel_to_rosmaster]: Serial port: /dev/ttyUSB0
[INFO] [1781017158.942783580] [cmd_vel_to_rosmaster]: cmd_vel_to_rosmaster started.
[INFO] [1781017158.945004876] [cmd_vel_to_rosmaster]: Subscribed topic: /cmd_vel
[INFO] [1781017158.947853757] [cmd_vel_to_rosmaster]: linear.y is ignored in this stage.
[INFO] [1781017158.949937678] [cmd_vel_to_rosmaster]: Safety limits: max_vx=0.100 m/s, max_wz=0.200 rad/s
[INFO] [1781017158.952010974] [cmd_vel_to_rosmaster]: Kick start: enable=True, kick_vx=0.110, kick_duration=0.220s, min_drive_vx=0.010, kick_max_wz=0.120, kick_cooldown=1.000s
[INFO] [1781017164.698707056] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017164.735544758] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017164.798339264] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017164.835654467] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017164.871547167] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017164.906319948] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017164.941975980] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017164.949159037] [cmd_vel_to_rosmaster]: status: battery=11.5, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.010, wz=0.021)
[INFO] [1781017164.978486556] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.014095214] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.049952705] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.085569363] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.121090104] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017165.158358931] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
