[INFO] [1781274649.161316346] [cmd_vel_to_rosmaster]: Initializing Rosmaster...
[INFO] [1781274649.167524636] [cmd_vel_to_rosmaster]: Serial port: /dev/ttyUSB0
[INFO] [1781274649.784693848] [cmd_vel_to_rosmaster]: cmd_vel_to_rosmaster started.
[INFO] [1781274649.788270889] [cmd_vel_to_rosmaster]: Subscribed topic: /cmd_vel
[INFO] [1781274649.792793429] [cmd_vel_to_rosmaster]: linear.y is ignored in this stage.
[INFO] [1781274649.799553177] [cmd_vel_to_rosmaster]: Safety limits: max_vx=0.100 m/s, max_wz=0.200 rad/s
[INFO] [1781274649.812248506] [cmd_vel_to_rosmaster]: Kick start: enable=True, kick_vx=0.110, kick_duration=0.220s, min_drive_vx=0.010, kick_max_wz=0.120, kick_cooldown=1.000s
[INFO] [1781274651.345986249] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.360150994] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.408802270] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.464682001] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.476021789] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.599826415] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.712597461] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.789920019] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.803997806] [cmd_vel_to_rosmaster]: status: battery=0.0, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.020)
[INFO] [1781274651.879727489] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.998818658] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.047252809] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.077397174] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.095738251] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.109941288] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.148322317] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.173519517] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.196426718] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.221532876] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.265954737] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.311037430] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.360306580] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.405520566] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.432863057] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.472820752] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.610869706] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.635599115] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.659429898] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.695256636] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.744252704] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.775523902] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.822063095] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.860348999] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.899176611] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274652.953729593] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.013132198] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.037642065] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.097751878] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.166716439] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.204608843] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.335784550] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.365414040] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.396309988] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.419486147] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.494944831] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.573886846] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.616646582] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.646949322] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.665485691] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.693791557] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.725924588] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.751618121] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.785354110] [cmd_vel_to_rosmaster]: status: battery=0.0, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.020)
[INFO] [1781274653.807711186] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.882176911] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274653.904270404] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.048975273] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.074931681] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.092132258] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.123893248] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.150137406] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.172761898] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.231413546] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.305825646] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.366188418] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.438865519] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.464819385] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.498285874] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.579451556] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.599124507] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.661964320] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274654.906844656] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.004633457] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.099958342] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.201386558] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.308194732] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.354598341] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.369094920] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.405908449] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.424436818] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.481130674] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.508981915] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.549194985] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.594660762] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.623939127] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.654143992] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.786712032] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.801039985] [cmd_vel_to_rosmaster]: status: battery=0.0, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.020)
[INFO] [1781274655.834887933] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.854212884] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274655.871343420] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.014843623] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.114846298] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.139859540] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.171212488] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.195814855] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.239100924] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.275801454] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.294077156] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.331451560] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.409854868] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.520744956] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.619926798] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.643211540] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.668127116] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.707691311] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.735264677] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.794342574] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.841580933] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.864350634] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274656.943578900] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
