publisher: beginning loop
publishing #128: std_msgs.msg.String(data='backpack')

publishing #129: std_msgs.msg.String(data='backpack')

publishing #130: std_msgs.msg.String(data='backpack')

publishing #131: std_msgs.msg.String(data='backpack')

publishing #132: std_msgs.msg.String(data='backpack')

publishing #133: std_msgs.msg.String(data='backpack')

publishing #134: std_msgs.msg.String(data='backpack')

publishing #135: std_msgs.msg.String(data='backpack')

publishing #136: std_msgs.msg.String(data='backpack')

publishing #137: std_msgs.msg.String(data='backpack')

publishing #138: std_msgs.msg.String(data='backpack')

publishing #139: std_msgs.msg.String(data='backpack')

publishing #140: std_msgs.msg.String(data='backpack')

publishing #141: std_msgs.msg.String(data='backpack')

publishing #142: std_msgs.msg.String(data='backpack')

publishing #143: std_msgs.msg.String(data='backpack')

publishing #144: std_msgs.msg.String(data='backpack')

publishing #145: std_msgs.msg.String(data='backpack')

publishing #146: std_msgs.msg.String(data='backpack')

publishing #147: std_msgs.msg.String(data='backpack')

publishing #148: std_msgs.msg.String(data='backpack')

publishing #149: std_msgs.msg.String(data='backpack')

publishing #150: std_msgs.msg.String(data='backpack')

publishing #151: std_msgs.msg.String(data='backpack')

publishing #152: std_msgs.msg.String(data='backpack')

publishing #153: std_msgs.msg.String(data='backpack')

publishing #154: std_msgs.msg.String(data='backpack')

publishing #155: std_msgs.msg.String(data='backpack')

publishing #156: std_msgs.msg.String(data='backpack')

publishing #157: std_msgs.msg.String(data='backpack')

publishing #158: std_msgs.msg.String(data='backpack')

publishing #159: std_msgs.msg.String(data='backpack')

publishing #160: std_msgs.msg.String(data='backpack')

publishing #161: std_msgs.msg.String(data='backpack')

publishing #162: std_msgs.msg.String(data='backpack')

publishing #163: std_msgs.msg.String(data='backpack')

publishing #164: std_msgs.msg.String(data='backpack')

publishing #165: std_msgs.msg.String(data='backpack')

publishing #166: std_msgs.msg.String(data='backpack')

publishing #167: std_msgs.msg.String(data='backpack')

publishing #168: std_msgs.msg.String(data='backpack')

publishing #169: std_msgs.msg.String(data='backpack')

publishing #170: std_msgs.msg.String(data='backpack')

publishing #171: std_msgs.msg.String(data='backpack')

publishing #172: std_msgs.msg.String(data='backpack')

publishing #173: std_msgs.msg.String(data='backpack')

publishing #174: std_msgs.msg.String(data='backpack')

publishing #175: std_msgs.msg.String(data='backpack')

publishing #176: std_msgs.msg.String(data='backpack')

publishing #177: std_msgs.msg.String(data='backpack')

publishing #178: std_msgs.msg.String(data='backpack')

publishing #179: std_msgs.msg.String(data='backpack')

publishing #180: std_msgs.msg.String(data='backpack')

publishing #181: std_msgs.msg.String(data='backpack')

publishing #182: std_msgs.msg.String(data='backpack')

publishing #183: std_msgs.msg.String(data='backpack')

publishing #184: std_msgs.msg.String(data='backpack')

publishing #185: std_msgs.msg.String(data='backpack')

publishing #186: std_msgs.msg.String(data='backpack')

publishing #187: std_msgs.msg.String(data='backpack')

publishing #188: std_msgs.msg.String(data='backpack')

publishing #189: std_msgs.msg.String(data='backpack')

publishing #190: std_msgs.msg.String(data='backpack')

publishing #191: std_msgs.msg.String(data='backpack')

publishing #192: std_msgs.msg.String(data='backpack')

publishing #193: std_msgs.msg.String(data='backpack')

publishing #194: std_msgs.msg.String(data='backpack')

publishing #195: std_msgs.msg.String(data='backpack')

publishing #196: std_msgs.msg.String(data='backpack')

publishing #197: std_msgs.msg.String(data='backpack')

publishing #198: std_msgs.msg.String(data='backpack')

publishing #199: std_msgs.msg.String(data='backpack')

publishing #200: std_msgs.msg.String(data='backpack')

publishing #201: std_msgs.msg.String(data='backpack')

publishing #202: std_msgs.msg.String(data='backpack')

publishing #203: std_msgs.msg.String(data='backpack')

publishing #204: std_msgs.msg.String(data='backpack')

publishing #205: std_msgs.msg.String(data='backpack')

publishing #206: std_msgs.msg.String(data='backpack')

publishing #207: std_msgs.msg.String(data='backpack')

publishing #208: std_msgs.msg.String(data='backpack')

publishing #209: std_msgs.msg.String(data='backpack')

publishing #210: std_msgs.msg.String(data='backpack')

publishing #211: std_msgs.msg.String(data='backpack')

publishing #212: std_msgs.msg.String(data='backpack')

publishing #213: std_msgs.msg.String(data='backpack')

publishing #214: std_msgs.msg.String(data='backpack')

publishing #215: std_msgs.msg.String(data='backpack')

publishing #216: std_msgs.msg.String(data='backpack')

publishing #217: std_msgs.msg.String(data='backpack')

publishing #218: std_msgs.msg.String(data='backpack')

publishing #219: std_msgs.msg.String(data='backpack')

publishing #220: std_msgs.msg.String(data='backpack')

publishing #221: std_msgs.msg.String(data='backpack')

publishing #222: std_msgs.msg.String(data='backpack')

publishing #223: std_msgs.msg.String(data='backpack')

publishing #224: std_msgs.msg.String(data='backpack')

publishing #225: std_msgs.msg.String(data='backpack')

publishing #226: std_msgs.msg.String(data='backpack')

publishing #227: std_msgs.msg.String(data='backpack')

publishing #228: std_msgs.msg.String(data='backpack')

publishing #229: std_msgs.msg.String(data='backpack')

publishing #230: std_msgs.msg.String(data='backpack')

publishing #231: std_msgs.msg.String(data='backpack')

publishing #232: std_msgs.msg.String(data='backpack')

publishing #233: std_msgs.msg.String(data='backpack')

publishing #234: std_msgs.msg.String(data='backpack')

publishing #235: std_msgs.msg.String(data='backpack')

