[37;1m2026-06-04 23:20:45.714 [31;1m[[37;1mRTPS_TRANSPORT_SHM[31;1m Error] [37mFailed init_port fastrtps_port7413: open_and_lock_file failed[34;1m -> Function [36mopen_port_internal[m
[INFO] [1780586445.952528152] [cmd_vel_to_rosmaster]: Initializing Rosmaster...
[INFO] [1780586445.954713538] [cmd_vel_to_rosmaster]: Serial port: /dev/ttyUSB0
[INFO] [1780586446.525900754] [cmd_vel_to_rosmaster]: cmd_vel_to_rosmaster started.
[INFO] [1780586446.528101014] [cmd_vel_to_rosmaster]: Subscribed topic: /cmd_vel
[INFO] [1780586446.537235928] [cmd_vel_to_rosmaster]: linear.y is ignored in this stage.
[INFO] [1780586446.539931849] [cmd_vel_to_rosmaster]: Safety limits: max_vx=0.080 m/s, max_wz=0.350 rad/s
[INFO] [1780586448.525993497] [cmd_vel_to_rosmaster]: status: battery=11.6, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1780586453.590153144] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.037 => send: vx=0.060, vy=0.000, wz=0.037
[INFO] [1780586453.624437713] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.037 => send: vx=0.060, vy=0.000, wz=0.037
[INFO] [1780586453.656325690] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.037 => send: vx=0.060, vy=0.000, wz=0.037
[INFO] [1780586453.689502191] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.036 => send: vx=0.060, vy=0.000, wz=0.036
[INFO] [1780586453.722158949] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.036 => send: vx=0.060, vy=0.000, wz=0.036
[INFO] [1780586453.755738611] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.036 => send: vx=0.060, vy=0.000, wz=0.036
[INFO] [1780586453.788134498] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.035 => send: vx=0.060, vy=0.000, wz=0.035
[INFO] [1780586453.821267082] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.034 => send: vx=0.060, vy=0.000, wz=0.034
[INFO] [1780586453.854078838] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.033 => send: vx=0.060, vy=0.000, wz=0.033
[INFO] [1780586453.887154632] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.032 => send: vx=0.060, vy=0.000, wz=0.032
[INFO] [1780586453.920865084] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.030 => send: vx=0.060, vy=0.000, wz=0.030
[INFO] [1780586453.953129639] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.028 => send: vx=0.060, vy=0.000, wz=0.028
[INFO] [1780586453.985940062] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.026 => send: vx=0.060, vy=0.000, wz=0.026
[INFO] [1780586454.018808400] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.023 => send: vx=0.060, vy=0.000, wz=0.023
[INFO] [1780586454.051961569] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.019 => send: vx=0.060, vy=0.000, wz=0.019
[INFO] [1780586454.085524857] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.015 => send: vx=0.060, vy=0.000, wz=0.015
[INFO] [1780586454.117914412] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.011 => send: vx=0.060, vy=0.000, wz=0.011
[INFO] [1780586454.151889153] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.007 => send: vx=0.060, vy=0.000, wz=0.007
[INFO] [1780586454.186234847] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.003 => send: vx=0.060, vy=0.000, wz=0.003
[INFO] [1780586454.216765926] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.000 => send: vx=0.060, vy=0.000, wz=0.000
[INFO] [1780586454.249836138] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.002 => send: vx=0.060, vy=0.000, wz=-0.002
[INFO] [1780586454.282893475] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.003 => send: vx=0.060, vy=0.000, wz=-0.003
[INFO] [1780586454.315921187] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.005 => send: vx=0.060, vy=0.000, wz=-0.005
[INFO] [1780586454.348963274] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.006 => send: vx=0.060, vy=0.000, wz=-0.006
[INFO] [1780586454.382921223] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.007 => send: vx=0.060, vy=0.000, wz=-0.007
[INFO] [1780586454.414870034] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.008 => send: vx=0.060, vy=0.000, wz=-0.008
[INFO] [1780586454.447581959] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.010 => send: vx=0.060, vy=0.000, wz=-0.010
[INFO] [1780586454.480568046] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.011 => send: vx=0.060, vy=0.000, wz=-0.011
[INFO] [1780586454.514339457] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.012 => send: vx=0.060, vy=0.000, wz=-0.012
[INFO] [1780586454.528102392] [cmd_vel_to_rosmaster]: status: battery=11.4, motion=(-1.202, 0.003, -0.211), last_cmd=(vx=0.060, wz=-0.012)
[INFO] [1780586454.548555569] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.013 => send: vx=0.060, vy=0.000, wz=-0.013
[INFO] [1780586454.581242119] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.015 => send: vx=0.060, vy=0.000, wz=-0.015
[INFO] [1780586454.614317248] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.016 => send: vx=0.060, vy=0.000, wz=-0.016
[INFO] [1780586454.648124866] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.017 => send: vx=0.060, vy=0.000, wz=-0.017
[INFO] [1780586454.679383769] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.018 => send: vx=0.060, vy=0.000, wz=-0.018
[INFO] [1780586454.711698949] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=-0.019 => send: vx=0.060, vy=0.000, wz=-0.019
