[WARN] [1781598805.617248781] [hobot_yolo_world]: This is hobot yolo world!
[WARN] [1781598805.709912377] [hobot_yolo_world]: Parameter:
 feed_type(0:local, 1:sub): 1
 image: config/yolo_world_test.jpg
 dump_render_img: 0
 is_shared_mem_sub: 0
 score_threshold: 0.006
 iou_threshold: 0.45
 nms_top_k: 50
 texts: green bottle,bottle,cup
 ai_msg_pub_topic_name: /hobot_yolo_world
 ros_img_sub_topic_name: /image_raw
 ros_string_sub_topic_name: /target_words
[WARN] [1781598805.949709552] [hobot_yolo_world]: Parameter:
 model_file_name: config/yolo_world.bin
 model_name: 
[WARN] [1781598805.949881552] [hobot_yolo_world]: model_file_name_: config/yolo_world.bin, task_num: 4
[BPU_PLAT]BPU Platform Version(1.3.6)! soc info(x5)
[HBRT] set log level as 0. version = 3.15.55.0
[DNN] Runtime version = 1.24.5_(3.15.55 HBRT)
[A][DNN][packed_model.cpp:247][Model](2026-06-16,16:33:26.576.10) [HorizonRT] The model builder version = 1.23.5
[WARN] [1781598806.900062672] [hobot_yolo_world]: Get model name: yolo_world_pad_pretrain_norm_new from load model.
[WARN] [1781598806.900276131] [hobot_yolo_world]: Create ai msg publisher with topic_name: /hobot_yolo_world
[WARN] [1781598806.925583123] [hobot_yolo_world]: Create string subscription with topic_name: /target_words
[WARN] [1781598806.928907580] [hobot_yolo_world]: Create img subscription with topic_name: /image_raw
[W][DNN]bpu_model_info.cpp:491][Version](2026-06-16,16:33:26.887.921) Model: yolo_world_pad_pretrain_norm_new. Inconsistency between the hbrt library version 3.15.55.0 and the model build version 3.15.47.0 detected, in order to ensure correct model results, it is recommended to use compilation tools and the BPU SDK from the same OpenExplorer package.
[WARN] [1781598840.898892493] [hobot_yolo_world]: Sub img fps: 20.04, Smart fps: 13.44, pre process time ms: 23, infer time ms: 317, post process time ms: 1
[WARN] [1781598842.017792186] [hobot_yolo_world]: Sub img fps: 19.72, Smart fps: 11.62, pre process time ms: 41, infer time ms: 395, post process time ms: 1
[WARN] [1781598843.072864566] [hobot_yolo_world]: Sub img fps: 20.13, Smart fps: 13.28, pre process time ms: 24, infer time ms: 324, post process time ms: 1
[WARN] [1781598844.196851466] [hobot_yolo_world]: Sub img fps: 20.10, Smart fps: 11.58, pre process time ms: 24, infer time ms: 398, post process time ms: 2
[WARN] [1781598845.247295181] [hobot_yolo_world]: Sub img fps: 19.65, Smart fps: 13.33, pre process time ms: 29, infer time ms: 318, post process time ms: 2
[WARN] [1781598846.372131372] [hobot_yolo_world]: Sub img fps: 20.45, Smart fps: 11.56, pre process time ms: 42, infer time ms: 393, post process time ms: 2
[WARN] [1781598847.420144587] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 13.37, pre process time ms: 28, infer time ms: 317, post process time ms: 2
[WARN] [1781598848.547137487] [hobot_yolo_world]: Sub img fps: 19.98, Smart fps: 11.55, pre process time ms: 26, infer time ms: 397, post process time ms: 2
[WARN] [1781598849.595064369] [hobot_yolo_world]: Sub img fps: 20.06, Smart fps: 13.37, pre process time ms: 25, infer time ms: 301, post process time ms: 2
[WARN] [1781598850.718437269] [hobot_yolo_world]: Sub img fps: 19.78, Smart fps: 11.58, pre process time ms: 28, infer time ms: 397, post process time ms: 1
[WARN] [1781598851.766222943] [hobot_yolo_world]: Sub img fps: 20.25, Smart fps: 13.37, pre process time ms: 25, infer time ms: 318, post process time ms: 2
[WARN] [1781598852.894434675] [hobot_yolo_world]: Sub img fps: 19.50, Smart fps: 11.54, pre process time ms: 25, infer time ms: 382, post process time ms: 2
[WARN] [1781598854.112456713] [hobot_yolo_world]: Sub img fps: 19.98, Smart fps: 12.32, pre process time ms: 28, infer time ms: 406, post process time ms: 2
[WARN] [1781598855.160301887] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 13.37, pre process time ms: 30, infer time ms: 318, post process time ms: 2
[WARN] [1781598856.285675620] [hobot_yolo_world]: Sub img fps: 20.08, Smart fps: 11.57, pre process time ms: 29, infer time ms: 397, post process time ms: 2
[WARN] [1781598857.335715918] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 13.33, pre process time ms: 27, infer time ms: 319, post process time ms: 1
[WARN] [1781598858.461295193] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 11.56, pre process time ms: 27, infer time ms: 398, post process time ms: 2
[WARN] [1781598859.511051824] [hobot_yolo_world]: Sub img fps: 20.11, Smart fps: 13.35, pre process time ms: 26, infer time ms: 319, post process time ms: 2
[WARN] [1781598860.636896849] [hobot_yolo_world]: Sub img fps: 19.94, Smart fps: 11.56, pre process time ms: 27, infer time ms: 397, post process time ms: 1
[WARN] [1781598861.688463730] [hobot_yolo_world]: Sub img fps: 19.98, Smart fps: 13.32, pre process time ms: 24, infer time ms: 320, post process time ms: 2
[WARN] [1781598862.813615839] [hobot_yolo_world]: Sub img fps: 20.06, Smart fps: 11.56, pre process time ms: 25, infer time ms: 398, post process time ms: 1
[WARN] [1781598863.862762762] [hobot_yolo_world]: Sub img fps: 19.76, Smart fps: 13.35, pre process time ms: 27, infer time ms: 319, post process time ms: 1
[WARN] [1781598864.988674162] [hobot_yolo_world]: Sub img fps: 20.31, Smart fps: 11.56, pre process time ms: 50, infer time ms: 396, post process time ms: 1
[WARN] [1781598866.033023796] [hobot_yolo_world]: Sub img fps: 19.67, Smart fps: 13.41, pre process time ms: 23, infer time ms: 317, post process time ms: 2
[WARN] [1781598867.163793486] [hobot_yolo_world]: Sub img fps: 20.25, Smart fps: 11.50, pre process time ms: 28, infer time ms: 396, post process time ms: 1
[WARN] [1781598868.210257452] [hobot_yolo_world]: Sub img fps: 20.08, Smart fps: 13.38, pre process time ms: 25, infer time ms: 301, post process time ms: 2
