[WARN] [1781269571.614601462] [hobot_yolo_world]: This is hobot yolo world!
[WARN] [1781269571.711346675] [hobot_yolo_world]: Parameter:
 feed_type(0:local, 1:sub): 1
 image: config/yolo_world_test.jpg
 dump_render_img: 0
 is_shared_mem_sub: 0
 score_threshold: 0.001
 iou_threshold: 0.45
 nms_top_k: 50
 texts: backpack
 ai_msg_pub_topic_name: /hobot_yolo_world
 ros_img_sub_topic_name: /image_raw
 ros_string_sub_topic_name: /target_words
[WARN] [1781269571.956833686] [hobot_yolo_world]: Parameter:
 model_file_name: config/yolo_world.bin
 model_name: 
[WARN] [1781269571.957049644] [hobot_yolo_world]: model_file_name_: config/yolo_world.bin, task_num: 4
[BPU_PLAT]BPU Platform Version(1.3.6)! soc info(x5)
[HBRT] set log level as 0. version = 3.15.55.0
[DNN] Runtime version = 1.24.5_(3.15.55 HBRT)
[A][DNN][packed_model.cpp:247][Model](2026-06-12,21:06:12.646.545) [HorizonRT] The model builder version = 1.23.5
[WARN] [1781269572.980951980] [hobot_yolo_world]: Get model name: yolo_world_pad_pretrain_norm_new from load model.
[WARN] [1781269572.981174480] [hobot_yolo_world]: Create ai msg publisher with topic_name: /hobot_yolo_world
[WARN] [1781269573.021009857] [hobot_yolo_world]: Create string subscription with topic_name: /target_words
[WARN] [1781269573.024293690] [hobot_yolo_world]: Create img subscription with topic_name: /image_raw
[W][DNN]bpu_model_info.cpp:491][Version](2026-06-12,21:06:12.957.195) Model: yolo_world_pad_pretrain_norm_new. Inconsistency between the hbrt library version 3.15.55.0 and the model build version 3.15.47.0 detected, in order to ensure correct model results, it is recommended to use compilation tools and the BPU SDK from the same OpenExplorer package.
[WARN] [1781269739.388607957] [hobot_yolo_world]: Sub img fps: 19.89, Smart fps: 13.50, pre process time ms: 25, infer time ms: 297, post process time ms: 1
[WARN] [1781269740.503572717] [hobot_yolo_world]: Sub img fps: 20.19, Smart fps: 11.66, pre process time ms: 29, infer time ms: 394, post process time ms: 1
[WARN] [1781269741.543843362] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 13.46, pre process time ms: 25, infer time ms: 297, post process time ms: 1
[WARN] [1781269742.659373245] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 11.66, pre process time ms: 37, infer time ms: 395, post process time ms: 1
[WARN] [1781269743.698355471] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 13.49, pre process time ms: 25, infer time ms: 317, post process time ms: 2
[WARN] [1781269744.813398227] [hobot_yolo_world]: Sub img fps: 20.13, Smart fps: 11.67, pre process time ms: 24, infer time ms: 375, post process time ms: 2
[WARN] [1781269745.860351450] [hobot_yolo_world]: Sub img fps: 19.98, Smart fps: 13.37, pre process time ms: 24, infer time ms: 315, post process time ms: 2
[WARN] [1781269746.974513538] [hobot_yolo_world]: Sub img fps: 20.08, Smart fps: 11.67, pre process time ms: 24, infer time ms: 394, post process time ms: 1
[WARN] [1781269748.014324260] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 13.47, pre process time ms: 24, infer time ms: 313, post process time ms: 2
[WARN] [1781269749.131301844] [hobot_yolo_world]: Sub img fps: 19.94, Smart fps: 11.64, pre process time ms: 24, infer time ms: 377, post process time ms: 2
[WARN] [1781269750.172780106] [hobot_yolo_world]: Sub img fps: 19.66, Smart fps: 13.45, pre process time ms: 24, infer time ms: 313, post process time ms: 1
[WARN] [1781269751.293900937] [hobot_yolo_world]: Sub img fps: 20.49, Smart fps: 11.60, pre process time ms: 45, infer time ms: 397, post process time ms: 1
[WARN] [1781269752.343960237] [hobot_yolo_world]: Sub img fps: 19.88, Smart fps: 13.33, pre process time ms: 25, infer time ms: 318, post process time ms: 1
[WARN] [1781269753.460411901] [hobot_yolo_world]: Sub img fps: 19.70, Smart fps: 11.65, pre process time ms: 53, infer time ms: 393, post process time ms: 1
[WARN] [1781269754.502152783] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 13.45, pre process time ms: 33, infer time ms: 299, post process time ms: 2
[WARN] [1781269755.619392069] [hobot_yolo_world]: Sub img fps: 19.98, Smart fps: 11.64, pre process time ms: 27, infer time ms: 395, post process time ms: 2
[WARN] [1781269756.658811450] [hobot_yolo_world]: Sub img fps: 19.70, Smart fps: 13.47, pre process time ms: 26, infer time ms: 316, post process time ms: 1
[WARN] [1781269757.774460068] [hobot_yolo_world]: Sub img fps: 20.31, Smart fps: 11.66, pre process time ms: 26, infer time ms: 394, post process time ms: 1
[WARN] [1781269758.814168321] [hobot_yolo_world]: Sub img fps: 20.10, Smart fps: 13.47, pre process time ms: 24, infer time ms: 297, post process time ms: 2
[WARN] [1781269759.933098061] [hobot_yolo_world]: Sub img fps: 19.70, Smart fps: 11.63, pre process time ms: 24, infer time ms: 388, post process time ms: 2
[WARN] [1781269760.974160896] [hobot_yolo_world]: Sub img fps: 20.17, Smart fps: 13.45, pre process time ms: 28, infer time ms: 315, post process time ms: 2
[WARN] [1781269762.088983260] [hobot_yolo_world]: Sub img fps: 20.17, Smart fps: 11.67, pre process time ms: 44, infer time ms: 394, post process time ms: 1
[WARN] [1781269763.126493051] [hobot_yolo_world]: Sub img fps: 19.67, Smart fps: 13.50, pre process time ms: 33, infer time ms: 313, post process time ms: 2
[WARN] [1781269764.243903621] [hobot_yolo_world]: Sub img fps: 20.31, Smart fps: 11.64, pre process time ms: 26, infer time ms: 392, post process time ms: 1
[WARN] [1781269765.281664244] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 13.50, pre process time ms: 23, infer time ms: 317, post process time ms: 1
[WARN] [1781269766.399707269] [hobot_yolo_world]: Sub img fps: 19.70, Smart fps: 11.64, pre process time ms: 27, infer time ms: 379, post process time ms: 2
[WARN] [1781269767.441813889] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 12.48, pre process time ms: 27, infer time ms: 394, post process time ms: 1
[WARN] [1781269768.492878341] [hobot_yolo_world]: Sub img fps: 20.35, Smart fps: 13.33, pre process time ms: 33, infer time ms: 298, post process time ms: 1
[WARN] [1781269769.612844946] [hobot_yolo_world]: Sub img fps: 19.90, Smart fps: 11.61, pre process time ms: 43, infer time ms: 397, post process time ms: 1
[WARN] [1781269770.654636605] [hobot_yolo_world]: Sub img fps: 20.15, Smart fps: 13.45, pre process time ms: 25, infer time ms: 316, post process time ms: 1
[WARN] [1781269771.773901958] [hobot_yolo_world]: Sub img fps: 19.89, Smart fps: 11.62, pre process time ms: 46, infer time ms: 390, post process time ms: 1
[WARN] [1781269772.812637283] [hobot_yolo_world]: Sub img fps: 20.11, Smart fps: 13.49, pre process time ms: 23, infer time ms: 313, post process time ms: 1
[WARN] [1781269773.926845760] [hobot_yolo_world]: Sub img fps: 19.84, Smart fps: 11.67, pre process time ms: 29, infer time ms: 393, post process time ms: 1
[WARN] [1781269774.967490998] [hobot_yolo_world]: Sub img fps: 19.85, Smart fps: 13.46, pre process time ms: 25, infer time ms: 316, post process time ms: 1
[WARN] [1781269776.082770057] [hobot_yolo_world]: Sub img fps: 20.29, Smart fps: 11.66, pre process time ms: 24, infer time ms: 394, post process time ms: 1
[WARN] [1781269777.122038085] [hobot_yolo_world]: Sub img fps: 19.76, Smart fps: 13.47, pre process time ms: 24, infer time ms: 315, post process time ms: 2
[WARN] [1781269778.237954683] [hobot_yolo_world]: Sub img fps: 19.76, Smart fps: 11.65, pre process time ms: 23, infer time ms: 376, post process time ms: 1
[WARN] [1781269779.276216585] [hobot_yolo_world]: Sub img fps: 20.39, Smart fps: 13.49, pre process time ms: 25, infer time ms: 315, post process time ms: 2
[WARN] [1781269780.393970472] [hobot_yolo_world]: Sub img fps: 20.00, Smart fps: 11.64, pre process time ms: 25, infer time ms: 394, post process time ms: 1
[WARN] [1781269781.430172664] [hobot_yolo_world]: Sub img fps: 19.65, Smart fps: 13.53, pre process time ms: 23, infer time ms: 315, post process time ms: 2
[WARN] [1781269782.545233007] [hobot_yolo_world]: Sub img fps: 19.63, Smart fps: 11.66, pre process time ms: 45, infer time ms: 393, post process time ms: 2
[WARN] [1781269783.583084447] [hobot_yolo_world]: Sub img fps: 20.79, Smart fps: 13.50, pre process time ms: 23, infer time ms: 315, post process time ms: 2
