[INFO] [1781854950.493366965] [compressed_to_raw_image]: compressed_to_raw_image started
[INFO] [1781854950.495671422] [compressed_to_raw_image]: subscribe: /image  type=sensor_msgs/msg/CompressedImage
[INFO] [1781854950.497693838] [compressed_to_raw_image]: publish  : /image_raw type=sensor_msgs/msg/Image
[INFO] [1781855081.219214153] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.56
[INFO] [1781855083.325899308] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.56
[INFO] [1781855085.428609173] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.61
[INFO] [1781855087.551272442] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.54
[INFO] [1781855089.654840305] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.61
[INFO] [1781855091.764754163] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855093.876649603] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855095.996517162] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.55
[INFO] [1781855098.105692019] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855100.214468667] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855102.324895647] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855104.436535042] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855106.548991936] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855108.692659768] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.47
[INFO] [1781855110.772552722] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.69
[INFO] [1781855112.884608656] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855114.999855420] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855117.111461644] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855119.221747327] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855121.332993675] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855123.457015847] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.54
[INFO] [1781855125.566527778] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.60
[INFO] [1781855127.669363630] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855129.791114218] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.54
[INFO] [1781855131.894481360] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.61
[INFO] [1781855134.005403287] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855136.116876214] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855138.235979301] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.55
[INFO] [1781855140.343507687] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855142.393012359] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.32
[INFO] [1781855144.515089734] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.54
[INFO] [1781855146.614901248] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.62
[INFO] [1781855148.735721040] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.54
[INFO] [1781855150.835539094] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.62
[INFO] [1781855152.949976388] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855155.061256934] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855157.173591937] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855159.282343774] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855161.394808775] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855163.508466650] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855165.629237520] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855167.733637691] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855169.845545482] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855171.954519773] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855174.070277144] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.56
[INFO] [1781855176.186602555] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.56
[INFO] [1781855178.295588261] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855180.402665760] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855182.537506949] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.51
[INFO] [1781855184.654551024] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.56
[INFO] [1781855186.742841691] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.66
[INFO] [1781855188.853557775] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855190.972505649] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.55
[INFO] [1781855193.079531391] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855195.186372087] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855197.305108531] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.55
[INFO] [1781855199.420885762] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855201.527156320] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855203.637550625] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855205.751817093] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855207.872515391] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.55
[INFO] [1781855209.975699307] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.60
[INFO] [1781855212.085349220] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855214.194744795] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855216.306848325] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855218.318559415] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.47
[INFO] [1781855220.420962727] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.61
[INFO] [1781855222.513568157] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.64
[INFO] [1781855224.632903922] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.55
[INFO] [1781855226.739214472] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.60
[INFO] [1781855228.849293894] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855230.961170020] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855233.071085891] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855235.211939431] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.52
[INFO] [1781855237.318717210] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.56
[INFO] [1781855239.419577027] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.65
[INFO] [1781855241.422105739] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.46
[INFO] [1781855243.501611085] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.69
[INFO] [1781855245.614374558] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855247.725834402] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855249.854524202] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.53
[INFO] [1781855251.981304499] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.56
[INFO] [1781855254.059145617] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.65
[INFO] [1781855256.172101694] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855258.294722353] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.54
[INFO] [1781855260.404656755] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855262.512024695] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855264.623764923] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855266.768874236] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.47
