time,event,test,odom_x,odom_y,yaw_unwrapped,odom_vx,odom_vy,odom_wz,cmd_vx,cmd_wz,cmd_sent_vx,cmd_sent_wz,pwm_1,pwm_2,pwm_3,pwm_4,vx_pwm,wz_pwm,last_sent_vx,last_sent_wz
1782801167.8748436,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,
1782801167.925263,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,
1782801167.9749327,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,
1782801168.026091,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,
1782801168.0748966,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,
1782801168.1257582,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,
1782801168.1749642,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,
1782801168.2254806,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801168.2749093,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801168.3249168,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801168.375088,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801168.4253016,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801168.4749517,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801168.5266397,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801168.5749247,sample,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
