time,stage,target_wz,mode,yaw_unwrapped,stage_yaw_delta,odom_x,odom_y,odom_vx,odom_vy,odom_wz,cmd_sent_vx,cmd_sent_wz,last_sent_vx,last_sent_wz,vx_pwm,wz_pwm,pwm_1,pwm_2,pwm_3,pwm_4,wheel_layout,motor_signs,wz_pwm_deadband,wz_pwm_gain,pwm_max
1782800689.2736118,0,0.06,running,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1782800689.3427186,0,0.06,running,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0,0,0,0,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800689.4428024,0,0.06,running,-0.001099686622619629,0.001099686622619629,-0.00014343738555908203,0.00014343738555908203,-0.003,0.003,-0.023,0.0,0.06,0.0,0.0,0.0,0.0,0,0,0,0,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800689.5427592,0,0.06,running,-0.004039238214492798,0.004039238214492798,-0.0005582344583664945,0.000559857834067985,-0.007,0.007,-0.047,0.0,0.06,0.0,0.0,0.0,0.0,0,0,0,0,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800689.642863,0,0.06,running,-0.01700036931037903,0.01700036931037903,-0.002665905676164355,0.0008854509003961852,-0.027,0.003,-0.211,0.0,0.06,0.0,0.0,0.0,0.0,0,0,0,0,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800689.7436566,0,0.06,running,-0.036304517030715945,0.036304517030715945,-0.005745468457749946,0.0009576208744100298,-0.03,0.0,-0.188,0.0,0.06,0.0,0.0,0.0,0.0,0,0,0,0,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800689.8436463,0,0.06,running,-0.06378975415229796,0.06378975415229796,-0.009714785939905225,0.0009390830919988623,-0.042,-0.003,-0.305,0.0,0.06,0.0,0.06,0.0,19.0,-19,-19,19,19,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800689.942878,0,0.06,running,-0.1008547167778015,0.1008547167778015,-0.01393636097703818,0.001147907156573505,-0.038,0.0,-0.423,0.0,0.06,0.0,0.06,0.0,19.0,-19,-19,19,19,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800690.0428429,0,0.06,running,-0.14101408481597902,0.14101408481597902,-0.018677898792591865,0.0018914413283661142,-0.05,0.003,-0.399,0.0,0.06,0.0,0.06,0.0,19.0,-19,-19,19,19,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800690.1490018,0,0.06,running,-0.186431437253952,0.186431437253952,-0.02376311773269848,0.002329519400752807,-0.058,0.003,-0.446,0.0,0.06,0.0,0.06,0.0,19.0,-19,-19,19,19,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
