time,event,test,odom_x,odom_y,yaw_unwrapped,odom_vx,odom_vy,odom_wz,cmd_vx,cmd_wz,cmd_sent_vx,cmd_sent_wz,pwm_1,pwm_2,pwm_3,pwm_4,vx_pwm,wz_pwm,last_sent_vx,last_sent_wz
1782801388.0300522,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,
1782801388.0769653,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,
1782801388.1288218,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,
1782801388.1768289,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,
1782801388.2269714,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.2769167,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.3311963,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.3775363,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.4272714,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.4770222,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.5268798,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.5770187,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.6266558,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.6768208,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.7266035,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.7769535,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.8265984,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.8765604,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.9264472,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801388.9766803,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801389.026463,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801389.0769784,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801389.1264389,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801389.176797,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801389.22644,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801389.2767224,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801389.3264463,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801389.376677,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801389.426599,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801389.4767544,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801389.5267484,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801389.5767791,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1782801389.6265936,sample,,0.02593781428280781,0.0008673248990849966,1.0765124464724394,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
