[INFO] [1782905588.662194507] [simple_scan_filter]: filter /scan -> /scan_filtered, keep=[0.18, 4.00], isolated_window=2, isolated_delta=0.25, min_support_neighbors=1
[INFO] [1782905807.191027782] [simple_scan_filter]: scan stats: n=404, zeros=119, nan=0, inf=0, finite_raw=285, finite_out=255, removed_isolated=3
[INFO] [1782905812.188083312] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=253, removed_isolated=5
[INFO] [1782905817.180282133] [simple_scan_filter]: scan stats: n=404, zeros=108, nan=0, inf=0, finite_raw=296, finite_out=256, removed_isolated=5
[INFO] [1782905822.166557956] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=250, removed_isolated=5
[INFO] [1782905827.157310937] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=251, removed_isolated=5
[INFO] [1782905832.153593618] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=253, removed_isolated=6
[INFO] [1782905837.143777675] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=251, removed_isolated=5
[INFO] [1782905842.136033642] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=252, removed_isolated=4
[INFO] [1782905847.125073734] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=254, removed_isolated=5
[INFO] [1782905852.119191525] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=255, removed_isolated=4
[INFO] [1782905857.111948229] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=249, removed_isolated=4
[INFO] [1782905862.104960721] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=250, removed_isolated=3
[INFO] [1782905867.095973128] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=256, removed_isolated=3
[INFO] [1782905872.086087531] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=254, removed_isolated=5
[INFO] [1782905877.076590763] [simple_scan_filter]: scan stats: n=404, zeros=120, nan=0, inf=0, finite_raw=284, finite_out=250, removed_isolated=4
[INFO] [1782905882.070399279] [simple_scan_filter]: scan stats: n=404, zeros=120, nan=0, inf=0, finite_raw=284, finite_out=248, removed_isolated=5
[INFO] [1782905887.062273586] [simple_scan_filter]: scan stats: n=404, zeros=119, nan=0, inf=0, finite_raw=285, finite_out=252, removed_isolated=6
[INFO] [1782905892.059402383] [simple_scan_filter]: scan stats: n=404, zeros=121, nan=0, inf=0, finite_raw=283, finite_out=250, removed_isolated=5
[INFO] [1782905897.046907726] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=245, removed_isolated=4
[INFO] [1782905902.041723143] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=246, removed_isolated=4
[INFO] [1782905907.042758050] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=255, removed_isolated=4
[INFO] [1782905912.024175470] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=252, removed_isolated=5
[INFO] [1782905917.017465459] [simple_scan_filter]: scan stats: n=404, zeros=121, nan=0, inf=0, finite_raw=283, finite_out=244, removed_isolated=5
[INFO] [1782905922.014995607] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=253, removed_isolated=4
[INFO] [1782905927.003605300] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=250, removed_isolated=5
[INFO] [1782905931.997371735] [simple_scan_filter]: scan stats: n=404, zeros=122, nan=0, inf=0, finite_raw=282, finite_out=245, removed_isolated=6
[INFO] [1782905936.990912083] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=256, removed_isolated=4
[INFO] [1782905941.983182220] [simple_scan_filter]: scan stats: n=404, zeros=120, nan=0, inf=0, finite_raw=284, finite_out=244, removed_isolated=5
[INFO] [1782905946.975172478] [simple_scan_filter]: scan stats: n=404, zeros=119, nan=0, inf=0, finite_raw=285, finite_out=244, removed_isolated=5
[INFO] [1782905951.969464272] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=250, removed_isolated=3
[INFO] [1782905956.968967349] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=250, removed_isolated=4
[INFO] [1782905961.956334349] [simple_scan_filter]: scan stats: n=404, zeros=111, nan=0, inf=0, finite_raw=293, finite_out=256, removed_isolated=4
[INFO] [1782905966.948729091] [simple_scan_filter]: scan stats: n=404, zeros=121, nan=0, inf=0, finite_raw=283, finite_out=243, removed_isolated=5
[INFO] [1782905971.942705994] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=253, removed_isolated=4
[INFO] [1782905976.938954725] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=252, removed_isolated=5
[INFO] [1782905981.928574875] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=257, removed_isolated=4
[INFO] [1782905986.929382844] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=259, removed_isolated=3
[INFO] [1782905991.917182779] [simple_scan_filter]: scan stats: n=404, zeros=125, nan=0, inf=0, finite_raw=279, finite_out=244, removed_isolated=5
[INFO] [1782905996.915613576] [simple_scan_filter]: scan stats: n=404, zeros=112, nan=0, inf=0, finite_raw=292, finite_out=255, removed_isolated=3
[INFO] [1782906001.904992294] [simple_scan_filter]: scan stats: n=404, zeros=121, nan=0, inf=0, finite_raw=283, finite_out=247, removed_isolated=4
