model,width,jpeg_quality,num_predict,num_ctx,repeat_id,ok,latency_sec,u,v,ollama_total_ms,ollama_load_ms,ollama_prompt_eval_ms,ollama_eval_ms,error
qwen2.5vl:3b,192,45,64,512,0,True,22.566455125808716,1206.857142857143,882.8531746031746,22506.124469,2202.659016,15431.792,4695.658,
qwen2.5vl:3b,192,45,64,512,1,True,8.012099027633667,1206.857142857143,882.8531746031746,7957.289345,2286.257663,345.488,5205.012,
qwen2.5vl:3b,192,45,64,512,2,True,8.059213161468506,1206.857142857143,882.8531746031746,8004.695288,2438.42051,287.451,5149.259,
