[INFO] [1783164861.352981845] [simple_scan_filter]: filter /scan -> /scan_filtered, keep=[0.22, 4.00], isolated_window=2, isolated_delta=0.25, min_support_neighbors=1
[INFO] [1783164874.901633746] [simple_scan_filter]: scan stats: n=404, zeros=100, nan=0, inf=0, finite_raw=304, finite_out=247, removed_isolated=7
[INFO] [1783164879.897658558] [simple_scan_filter]: scan stats: n=404, zeros=100, nan=0, inf=0, finite_raw=304, finite_out=244, removed_isolated=8
[INFO] [1783164884.898257416] [simple_scan_filter]: scan stats: n=404, zeros=98, nan=0, inf=0, finite_raw=306, finite_out=246, removed_isolated=8
[INFO] [1783164889.899283072] [simple_scan_filter]: scan stats: n=404, zeros=106, nan=0, inf=0, finite_raw=298, finite_out=244, removed_isolated=6
[INFO] [1783164894.942309885] [simple_scan_filter]: scan stats: n=404, zeros=108, nan=0, inf=0, finite_raw=296, finite_out=240, removed_isolated=8
[INFO] [1783164899.885539291] [simple_scan_filter]: scan stats: n=404, zeros=97, nan=0, inf=0, finite_raw=307, finite_out=253, removed_isolated=6
[INFO] [1783164904.955928941] [simple_scan_filter]: scan stats: n=404, zeros=99, nan=0, inf=0, finite_raw=305, finite_out=249, removed_isolated=6
[INFO] [1783164909.868872753] [simple_scan_filter]: scan stats: n=404, zeros=104, nan=0, inf=0, finite_raw=300, finite_out=246, removed_isolated=5
[INFO] [1783164914.907121392] [simple_scan_filter]: scan stats: n=404, zeros=103, nan=0, inf=0, finite_raw=301, finite_out=247, removed_isolated=6
[INFO] [1783164919.865743494] [simple_scan_filter]: scan stats: n=404, zeros=99, nan=0, inf=0, finite_raw=305, finite_out=247, removed_isolated=8
[INFO] [1783164924.861631881] [simple_scan_filter]: scan stats: n=404, zeros=99, nan=0, inf=0, finite_raw=305, finite_out=249, removed_isolated=6
[INFO] [1783164929.856536777] [simple_scan_filter]: scan stats: n=404, zeros=102, nan=0, inf=0, finite_raw=302, finite_out=246, removed_isolated=5
[INFO] [1783164934.859581222] [simple_scan_filter]: scan stats: n=404, zeros=97, nan=0, inf=0, finite_raw=307, finite_out=248, removed_isolated=9
[INFO] [1783164939.856291514] [simple_scan_filter]: scan stats: n=404, zeros=96, nan=0, inf=0, finite_raw=308, finite_out=250, removed_isolated=7
[INFO] [1783164944.843968446] [simple_scan_filter]: scan stats: n=404, zeros=101, nan=0, inf=0, finite_raw=303, finite_out=248, removed_isolated=6
[INFO] [1783164949.840170551] [simple_scan_filter]: scan stats: n=404, zeros=98, nan=0, inf=0, finite_raw=306, finite_out=248, removed_isolated=6
[INFO] [1783164954.834430419] [simple_scan_filter]: scan stats: n=404, zeros=101, nan=0, inf=0, finite_raw=303, finite_out=251, removed_isolated=6
[INFO] [1783164959.831932797] [simple_scan_filter]: scan stats: n=404, zeros=101, nan=0, inf=0, finite_raw=303, finite_out=249, removed_isolated=6
[INFO] [1783164964.826452772] [simple_scan_filter]: scan stats: n=404, zeros=102, nan=0, inf=0, finite_raw=302, finite_out=245, removed_isolated=8
[INFO] [1783164969.826384465] [simple_scan_filter]: scan stats: n=404, zeros=99, nan=0, inf=0, finite_raw=305, finite_out=248, removed_isolated=5
[INFO] [1783164974.820868007] [simple_scan_filter]: scan stats: n=404, zeros=97, nan=0, inf=0, finite_raw=307, finite_out=249, removed_isolated=7
[INFO] [1783164979.819791142] [simple_scan_filter]: scan stats: n=404, zeros=100, nan=0, inf=0, finite_raw=304, finite_out=249, removed_isolated=5
[INFO] [1783164984.822335081] [simple_scan_filter]: scan stats: n=404, zeros=104, nan=0, inf=0, finite_raw=300, finite_out=247, removed_isolated=4
[INFO] [1783164989.811102665] [simple_scan_filter]: scan stats: n=404, zeros=97, nan=0, inf=0, finite_raw=307, finite_out=251, removed_isolated=6
[INFO] [1783164994.811702090] [simple_scan_filter]: scan stats: n=404, zeros=99, nan=0, inf=0, finite_raw=305, finite_out=250, removed_isolated=8
[INFO] [1783164999.807238323] [simple_scan_filter]: scan stats: n=404, zeros=99, nan=0, inf=0, finite_raw=305, finite_out=248, removed_isolated=4
[INFO] [1783165004.795809533] [simple_scan_filter]: scan stats: n=404, zeros=97, nan=0, inf=0, finite_raw=307, finite_out=248, removed_isolated=8
[INFO] [1783165009.800774604] [simple_scan_filter]: scan stats: n=404, zeros=103, nan=0, inf=0, finite_raw=301, finite_out=245, removed_isolated=10
